47431 4 7 4 3 1 4700 3548.94915254237 
74822 7 4 8 2 2 4950 4274.46902654867 
101411 10 1 4 1 1 5300 5698.88043478261 
105732 10 5 7 3 2 4350 5774.69318181818 
94834 9 4 8 3 4 3650 4934.41666666667 
95511 9 5 5 1 1 4350 5338.07 
37943 3 7 9 4 3 4650 4362.59649122807 
114135 11 4 1 3 5 4000 6360.85365853659 
86313 8 6 3 1 3 4650 4360.78761061947 
123325 12 3 3 2 5 3700 7428.78787878788 
33434 3 3 4 3 4 5500 3204.264 
148421 14 8 4 2 1 2650 8209.6 
134945 13 4 9 4 5 2850 7589.4347826087 
99214 9 9 2 1 4 3600 5998.44186046512 
57315 5 7 3 1 5 5350 3606.37096774194 
103754 10 3 7 5 4 4050 5698.94444444444 
41743 4 1 7 4 3 5100 3683.88059701493 
125551 12 5 5 5 1 3200 6788.91304347826 
39335 3 9 3 3 5 4700 6160.4 
147435 14 7 4 3 5 2450 9198.70588235294 
112715 11 2 7 1 5 4300 6089.43209876543 
47141 4 7 1 4 1 4700 3510.63970588235 
52345 5 2 3 4 5 5500 3524.65853658537 
137835 13 7 8 3 5 2750 8439.91111111111 
66422 6 6 4 2 2 4450 3793.39516129032 
58852 5 8 8 5 2 4400 4489.95726495726 
87552 8 7 5 5 2 3850 5046.45794392523 
116932 11 6 9 3 2 3550 6600.75324675325 
89521 8 9 5 2 1 4050 6090.06976744186 
114631 11 4 6 3 1 4000 6072.97368421053 
92611 9 2 6 1 1 4600 4910.00980392157 
103235 10 3 2 3 5 4600 5886.27659574468 
127155 12 7 1 5 5 2800 6895.19672131148 
61923 6 1 9 2 3 4800 4713.52941176471 
62735 6 2 7 3 5 4500 4159.56 
135944 13 5 9 4 4 2850 8510.93617021277 
82851 8 2 8 5 1 4300 5031.43925233645 
65622 6 5 6 2 2 4550 3742.71875 
64812 6 4 8 1 2 4600 3836.89516129032 
145522 14 5 5 2 2 3150 9248.73333333333 
139345 13 9 3 4 5 2500 8376.85416666667 
79743 7 9 7 4 3 3950 6248.16091954023 
98325 9 8 3 2 5 3500 5692.63636363636 
82221 8 2 2 2 1 5150 5077.17592592593 
107723 10 7 7 2 3 4150 6110.89024390244 
79641 7 9 6 4 1 4100 6045.17647058824 
138534 13 8 5 3 4 2850 7547.95652173913 
57611 5 7 6 1 1 5450 3759.7109375 
58415 5 8 4 1 5 5050 4345 
142545 14 2 5 4 5 2950 9402.8 
64234 6 4 2 3 4 4500 3839.66129032258 
148133 14 8 1 3 3 2600 8695.90322580645 
45644 4 5 6 4 4 4550 3147.01526717557 
89433 8 9 4 3 3 3750 5856.30681818182 
65733 6 5 7 3 3 4300 4069.33858267717 
114154 11 4 1 5 4 3700 6377.32530120482 
101345 10 1 3 4 5 4650 5696.83333333333 
79943 7 9 9 4 3 3800 6438.79761904762 
126353 12 6 3 5 3 3000 7499.75 
62215 6 2 2 1 5 5050 3948.65853658537 
43255 4 3 2 5 5 4750 3582.44262295082 
43143 4 3 1 4 3 5100 3751.90977443609 
44441 4 4 4 4 1 4850 3662.9921875 
48341 4 8 3 4 1 4400 4173.97297297297 
28834 2 8 8 3 4 5100 4326.56910569106 
136552 13 6 5 5 2 3000 7065.49019607843 
142632 14 2 6 3 2 3250 8740.74193548387 
99144 9 9 1 4 4 3150 6421.67901234568 
87954 8 7 9 5 4 3400 4751.08256880734 
69715 6 9 7 1 5 3800 5717.57471264368 
137924 13 7 9 2 4 2900 8435.45 
33255 3 3 2 5 5 5250 3438.25373134328 
36813 3 6 8 1 3 5350 3334.1 
88835 8 8 8 3 5 3550 5165.74285714286 
39321 3 9 3 2 1 5100 5946.07954545455 
114945 11 4 9 4 5 3350 6283.34146341463 
127331 12 7 3 3 1 3300 7724.33870967742 
64712 6 4 7 1 2 4700 3810.32 
142811 14 2 8 1 1 3450 9207.25641025641 
115225 11 5 2 2 5 4050 6547.82666666667 
63421 6 3 4 2 1 4850 3935.825 
